,img,horizontal,no person,business,abstract,design,illustration,outdoors,desktop,art,retro,people,man,adult,woman,nature
0,image0.jpg,0.9634029865264893,0.9459701776504517,0.9100565314292908,0.9009317755699158,0.8654417395591736,0.8561626672744751,0.8373806476593018,,,,,,,,
1,image1.jpg,,0.9673848152160645,0.9642860889434814,0.8880114555358887,0.9393494725227356,0.9072005748748779,,0.8960832357406616,,,,,,,
2,image10.jpg,,,,0.959486722946167,0.9684290289878845,0.9689504504203796,,0.9226729869842529,0.9867193102836609,0.9627397060394287,,,,,
3,image100.jpg,,,,,,0.8887635469436646,,,0.9133567214012146,,0.9915779829025269,0.986880898475647,0.9687248468399048,0.9665056467056274,
4,image1000.jpg,,0.901738703250885,,,0.8805317878723145,0.9562665224075317,,0.8133459091186523,0.8965409994125366,0.9718376398086548,0.8589176535606384,0.9666234850883484,,,
5,image1001.jpg,,,,0.9428569674491882,0.9798193573951721,0.9698430299758911,,0.9320542812347412,0.9450737833976746,0.9408039450645447,,,,,
6,image1002.jpg,,,0.9808269739151001,,,,,,,,0.9471468925476074,0.9708971977233887,0.9439026117324829,,
7,image1003.jpg,0.8546615839004517,0.8447703123092651,,,0.9570093750953674,0.7796573042869568,,0.8464065790176392,,,,,,0.8236312866210938,0.8295300602912903
8,image1004.jpg,,,,,0.8957289457321167,0.9964536428451538,,,0.8660680651664734,0.8789052963256836,0.9123406410217285,0.9126744270324707,0.8618548512458801,,
9,image1005.jpg,0.9481461048126221,0.9192123413085938,0.9563605189323425,,,,0.9465435743331909,,,,,,,,
10,image1006.jpg,,,,,,,,,,0.8170911073684692,0.9500129818916321,,0.9523904919624329,0.9591770768165588,
11,image1007.jpg,,,0.9291980862617493,0.9838166236877441,0.8757089972496033,0.9690545201301575,,0.9890525937080383,0.9272777438163757,0.9151374101638794,,,,,
12,image1008.jpg,,0.9441798329353333,,,0.920185923576355,0.9297424554824829,,0.8163515329360962,0.9230489730834961,0.9449658989906311,,0.8296982049942017,,0.8180420994758606,0.8178253769874573
13,image1009.jpg,,0.8443014621734619,,0.8595597743988037,0.795764148235321,0.9749135971069336,0.8036710023880005,0.8892715573310852,0.9211558699607849,0.923474907875061,,,,,
14,image101.jpg,0.9749444127082825,,,,,,0.983341634273529,,,,0.9796903133392334,,0.9595693349838257,0.9823551774024963,0.9001594185829163
15,image1010.jpg,,,,,,,,,,,0.9822952747344971,,0.9286677241325378,0.9533109068870544,
16,image1011.jpg,,0.9248694777488708,,,0.9133815765380859,0.9392011165618896,,0.9185225367546082,0.9014071226119995,0.9320372939109802,,,,,
17,image1012.jpg,0.841157853603363,,,,,,,,,,0.9176225662231445,,0.8230893611907959,,
