,img,symbol,illustration,design,business,bill,no person,text,retro,desktop,people,man,adult,art,music,woman,vintage,performance,musician,portrait,vertical,old
0,image0.jpg,0.9694898724555969,0.9612501263618469,0.9580129981040955,0.9530441761016846,0.9207779169082642,0.9175810813903809,0.9099866151809692,0.8856291770935059,0.8854538202285767,,,,,,,,,,,,
1,image1.jpg,0.8658648729324341,0.989852249622345,,,0.9748803973197937,,,,0.8773553967475891,0.9713435173034668,0.9443158507347107,0.9272354245185852,0.912503182888031,0.883604109287262,0.8385366201400757,0.7973399758338928,,,,,
2,image10.jpg,,,,,,,,,,0.9963667392730713,0.9885720014572144,0.9941957592964172,,0.9949772953987122,0.9610051512718201,,0.9908183217048645,0.9858831763267517,0.9504311680793762,,
3,image100.jpg,,0.9667087197303772,0.7821086645126343,,,,,0.871903121471405,,0.8586254715919495,0.8615872263908386,,0.8322522044181824,0.9381301403045654,,,0.8187209963798523,,,,
4,image1000.jpg,,0.9520894885063171,,,0.9904335737228394,,0.8829911351203918,,0.8370175361633301,0.9771539568901062,0.9832594394683838,0.8935193419456482,0.759167492389679,0.966858446598053,0.8738856911659241,,0.9048006534576416,0.8783197402954102,,,
5,image1001.jpg,,0.9954681396484375,0.792495846748352,,0.9841023087501526,,0.9751284718513489,,,0.8807302117347717,0.8573589324951172,0.8137415051460266,0.944343626499176,,,,,,,0.9741207957267761,0.8114048838615417
6,image1002.jpg,,0.9265381693840027,,,0.9023057222366333,0.8619017004966736,0.9111734628677368,0.8832582831382751,,0.9705067276954651,0.8523434400558472,0.9117059111595154,0.8309804201126099,0.9433897137641907,0.9550991058349609,,0.9364980459213257,0.8294556736946106,,0.8402941823005676,
7,image1003.jpg,,,,,,0.9853211045265198,,0.8949243426322937,,,,,0.7682989239692688,,,,,,,,0.8728829622268677
8,image1004.jpg,,0.9929646253585815,,,,,,0.9565783739089966,,0.9758434891700745,0.9785493016242981,0.9175781607627869,0.8944816589355469,,0.9637439846992493,0.9022939801216125,,,,,
9,image1005.jpg,,,,0.976947009563446,,0.995136559009552,0.9503867626190186,0.9388587474822998,,,,,,,,,,,,,
10,image1006.jpg,,,,,,0.9891678094863892,,,,0.931850254535675,0.8840972185134888,,,,0.895316481590271,,,,,,
11,image1007.jpg,,0.9961338043212891,,,0.8766593933105469,,,0.9122875332832336,,0.9879978895187378,0.9792567491531372,0.9657894968986511,0.9808557629585266,0.9621877670288086,0.8314634561538696,0.9578025341033936,,0.8689429759979248,0.9727014899253845,0.9742804169654846,0.9711305499076843
