,img,desktop,text,symbol,illustration,business,people,portrait,man,adult,music,woman,vertical,bill,sign,retro,design,vector,art,no person,horizontal
0,image0.jpg,0.9866896867752075,0.9716729521751404,0.9157912731170654,0.914295494556427,0.8987236022949219,,,,,,,,,,,,,,,
1,image1.jpg,,,,,,0.9949217438697815,0.9805914759635925,0.973565936088562,0.9448333978652954,0.9389661550521851,0.9101329445838928,,,,,,,,,
2,image10.jpg,,,,,,0.9972028732299805,0.9636396169662476,0.830976665019989,0.9474183917045593,0.9455525279045105,0.8975218534469604,0.712990939617157,,,,,,,,
3,image100.jpg,,0.9951468110084534,,0.9733232855796814,0.9520733952522278,,,,,,,,0.9866542220115662,0.7761925458908081,,,,,,
4,image1000.jpg,0.9199396967887878,,,0.9629111886024475,0.8850589990615845,,,,,,,,0.9322541356086731,0.9257455468177795,0.9460813403129578,0.9382476806640625,0.92027747631073,,,
5,image1001.jpg,0.9286795258522034,,,0.9895908236503601,0.9349945783615112,,,,,,,,,,,0.9435716867446899,,,,
6,image1002.jpg,,,,,,0.9904127717018127,,0.9768436551094055,0.9344921708106995,0.994948148727417,0.9774150252342224,,,,,,,0.8917198181152344,,
7,image1003.jpg,0.8805395364761353,,0.8889283537864685,0.8918668627738953,0.9417412281036377,0.9244408011436462,,0.924660325050354,,,,,,0.8475710153579712,,,,,,
8,image1004.jpg,0.7233129143714905,0.8145997524261475,0.7865039110183716,0.729671835899353,0.9063858985900879,0.9470453858375549,,0.8207139372825623,0.7120557427406311,,0.9126502275466919,,0.8492084741592407,0.67890465259552,,,,,,
9,image1005.jpg,0.8522310853004456,0.9339188933372498,0.8983545899391174,0.9671021103858948,,,,,,,,,0.8849656581878662,,0.9451274275779724,0.9594267010688782,0.9801282286643982,0.9128305912017822,,
10,image1006.jpg,0.9548010230064392,0.9430481791496277,0.9068226218223572,0.919114351272583,0.785711407661438,0.919593870639801,,0.8585798740386963,,0.7523008584976196,0.9021539092063904,,0.9031267762184143,,,,,0.8724474310874939,,
11,image1007.jpg,0.9251231551170349,,,0.9777697920799255,,,,,,,,,0.8518949747085571,,0.9784027338027954,0.907606840133667,,0.9138912558555603,0.8569620847702026,
12,image1008.jpg,,0.8277415633201599,0.8080511093139648,0.9846985936164856,,0.9241273403167725,,0.969015896320343,0.8067811727523804,,0.9340233206748962,,,,0.8060628771781921,,,0.9540101885795593,,
13,image1009.jpg,0.6543606519699097,0.9005156755447388,0.6490856409072876,0.7292777895927429,0.7642118334770203,0.9534569978713989,0.8408364057540894,0.770963728427887,0.6761922836303711,,0.7989018559455872,0.735232412815094,0.7725144624710083,,0.6620080471038818,,,0.6628591418266296,,
14,image101.jpg,,0.7339392900466919,,,,0.9663912057876587,0.978561520576477,,0.8518617153167725,0.7377502918243408,0.9087077379226685,0.8937017321586609,,,,,,,,0.8200075030326843
15,image1010.jpg,,,,,,0.8147913813591003,,0.853503942489624,,,0.7978646159172058,,,,0.9728313684463501,,,,0.7496254444122314,
16,image1011.jpg,0.9579434990882874,0.9438227415084839,0.9154775738716125,0.9432187080383301,0.9440830945968628,,,,,,,,0.9517654776573181,0.9612168669700623,0.9336144328117371,0.8590185046195984,0.8882135152816772,,0.9289354681968689,
17,image1012.jpg,,,,0.8819724917411804,,0.9893159866333008,0.9896905422210693,0.9592288732528687,0.9722608327865601,,0.973919153213501,,,,,,,,,0.8514239192008972
18,image1013.jpg,0.8021236658096313,0.8955810070037842,,0.7888658046722412,0.9192916750907898,,,,,,,,,,,,,,0.8361321687698364,0.7202150225639343
19,image1014.jpg,,,,,,0.9978795051574707,0.9911389946937561,0.9621337056159973,0.9896636605262756,0.9393576979637146,0.9738677144050598,,,,,,,,,
20,image1015.jpg,0.9249395728111267,0.9203218221664429,,0.9361909627914429,,0.8924959897994995,,,,,0.939005434513092,,0.881293773651123,0.8803215026855469,,,0.9578214883804321,,,
21,image1016.jpg,0.9635218381881714,0.908407986164093,0.884074866771698,0.9849205613136292,,,,,,,,,,,0.9222549796104431,0.9679797291755676,0.9154670834541321,0.9208217859268188,,
22,image1017.jpg,0.7608899474143982,0.8870725631713867,,0.8420039415359497,,0.9887623190879822,0.9686179161071777,0.9843317270278931,0.9736523628234863,,0.9306461215019226,,0.8729888796806335,,,,,,,
23,image1018.jpg,,,,0.8915675282478333,,0.9844908118247986,,0.9647864699363708,0.9506980776786804,0.8035256862640381,0.8034530878067017,,0.8028874397277832,,,,,,,
24,image1019.jpg,,0.9673211574554443,,0.7578666806221008,0.707351803779602,0.9891968369483948,0.9293773174285889,0.9050635695457458,0.9108476638793945,,0.8300645351409912,,0.9132047295570374,,,,,,,
25,image102.jpg,,0.9671348929405212,,,0.9758087396621704,,,,,,,,,,,,,,0.990871012210846,
26,image1020.jpg,,0.7762268781661987,,,0.7322794795036316,0.9759352207183838,0.9796191453933716,0.9287922978401184,0.8585500121116638,,,,0.66954505443573,,,,,,,
